"protein_name" "sample_ID" "psm" "study" "material" "material2" "x_label"
"68" "Vitronectin" "3-ZH1676" 27 "Seili" "bone" "Bone
 " "3-ZH1676

Bone
 "
"69" "Apolipoprotein D" "1-ZH1657" 26 "Seili" "coffin_bedding" "Coffin
bedding" "1-ZH1657

Coffin
bedding"
"70" "Ferritin heavy chain" "1-ZH1657" 26 "Seili" "coffin_bedding" "Coffin
bedding" "1-ZH1657

Coffin
bedding"
"71" "Protein S100-A8" "1-ZH1670" 26 "Seili" "soft_tissue" "Soft
tissue" "1-ZH1670

Soft
tissue"
"72" "Collagen alpha-1(XII) chain" "1-ZH1658" 25 "Seili" "bone" "Bone
 " "1-ZH1658

Bone
 "
"73" "Aldehyde oxidase" "1-ZH1670" 25 "Seili" "soft_tissue" "Soft
tissue" "1-ZH1670

Soft
tissue"
"74" "Collagen alpha-1(X) chain" "1-ZH1670" 25 "Seili" "soft_tissue" "Soft
tissue" "1-ZH1670

Soft
tissue"
"75" "Ferritin heavy chain" "1-ZH1670" 25 "Seili" "soft_tissue" "Soft
tissue" "1-ZH1670

Soft
tissue"
"76" "Vitronectin" "2-ZH1672" 25 "Seili" "bone" "Bone
 " "2-ZH1672

Bone
 "
"77" "Lumican" "3-ZH1676" 25 "Seili" "bone" "Bone
 " "3-ZH1676

Bone
 "
"78" "Ferritin light chain" "1-ZH1659" 24 "Seili" "soft_tissue" "Soft
tissue" "1-ZH1659

Soft
tissue"
"79" "Collagen alpha-1(XII) chain" "1-ZH1670" 24 "Seili" "soft_tissue" "Soft
tissue" "1-ZH1670

Soft
tissue"
"80" "Keratin, type I cuticular Ha3-I" "2-ZH1673" 24 "Seili" "soft_tissue" "Soft
tissue" "2-ZH1673

Soft
tissue"
"81" "KRT85_HUMAN" "2-ZH1673" 24 "Seili" "soft_tissue" "Soft
tissue" "2-ZH1673

Soft
tissue"
"82" "Triosephosphate isomerase" "1-ZH1657" 23 "Seili" "coffin_bedding" "Coffin
bedding" "1-ZH1657

Coffin
bedding"
"83" "Collagen alpha-1(XII) chain" "1-ZH1659" 23 "Seili" "soft_tissue" "Soft
tissue" "1-ZH1659

Soft
tissue"
"84" "Prolargin" "1-ZH1670" 23 "Seili" "soft_tissue" "Soft
tissue" "1-ZH1670

Soft
tissue"
"85" "Serum amyloid P-component" "1-ZH1670" 23 "Seili" "soft_tissue" "Soft
tissue" "1-ZH1670

Soft
tissue"
"86" "Collagen alpha-3(VI) chain" "2-ZH1672" 23 "Seili" "bone" "Bone
 " "2-ZH1672

Bone
 "
"87" "Collagen alpha-1(XII) chain" "3-ZH1676" 23 "Seili" "bone" "Bone
 " "3-ZH1676

Bone
 "
"88" "FABPH_HUMAN" "1-ZH1657" 22 "Seili" "coffin_bedding" "Coffin
bedding" "1-ZH1657

Coffin
bedding"
"89" "Superoxide dismutase [Mn], mitochondrial" "1-ZH1659" 22 "Seili" "soft_tissue" "Soft
tissue" "1-ZH1659

Soft
tissue"
"90" "Lumican" "1-ZH1658" 21 "Seili" "bone" "Bone
 " "1-ZH1658

Bone
 "
"91" "Lactadherin" "1-ZH1670" 21 "Seili" "soft_tissue" "Soft
tissue" "1-ZH1670

Soft
tissue"
"92" "Lumican" "2-ZH1672" 21 "Seili" "bone" "Bone
 " "2-ZH1672

Bone
 "
"93" "Periostin" "1-ZH1658" 20 "Seili" "bone" "Bone
 " "1-ZH1658

Bone
 "
"94" "Aspartate aminotransferase, mitochondrial" "1-ZH1670" 20 "Seili" "soft_tissue" "Soft
tissue" "1-ZH1670

Soft
tissue"
"95" "Serum amyloid P-component" "2-ZH1673" 20 "Seili" "soft_tissue" "Soft
tissue" "2-ZH1673

Soft
tissue"
"96" "Collagen alpha-2(VI) chain" "1-ZH1657" 19 "Seili" "coffin_bedding" "Coffin
bedding" "1-ZH1657

Coffin
bedding"
"97" "Collagen alpha-2(IV) chain" "1-ZH1670" 19 "Seili" "soft_tissue" "Soft
tissue" "1-ZH1670

Soft
tissue"
"98" "Alpha-1-acid glycoprotein 1" "2-ZH1673" 19 "Seili" "soft_tissue" "Soft
tissue" "2-ZH1673

Soft
tissue"
"99" "Alpha-1-antitrypsin" "1-ZH1657" 18 "Seili" "coffin_bedding" "Coffin
bedding" "1-ZH1657

Coffin
bedding"
"100" "Aggrecan core protein" "1-ZH1670" 18 "Seili" "soft_tissue" "Soft
tissue" "1-ZH1670

Soft
tissue"
"101" "Alpha-1-acid glycoprotein 1" "1-ZH1670" 18 "Seili" "soft_tissue" "Soft
tissue" "1-ZH1670

Soft
tissue"
"102" "Glutathione peroxidase 3" "1-ZH1670" 18 "Seili" "soft_tissue" "Soft
tissue" "1-ZH1670

Soft
tissue"
"103" "Myosin-binding protein C, slow-type" "1-ZH1670" 18 "Seili" "soft_tissue" "Soft
tissue" "1-ZH1670

Soft
tissue"
"104" "Peroxiredoxin-4" "1-ZH1670" 18 "Seili" "soft_tissue" "Soft
tissue" "1-ZH1670

Soft
tissue"
"105" "Superoxide dismutase [Mn], mitochondrial" "2-ZH1673" 18 "Seili" "soft_tissue" "Soft
tissue" "2-ZH1673

Soft
tissue"
"106" "Anoctamin-5" "3-ZH1676" 18 "Seili" "bone" "Bone
 " "3-ZH1676

Bone
 "
"107" "Olfactomedin-like protein 3" "1-ZH1658" 17 "Seili" "bone" "Bone
 " "1-ZH1658

Bone
 "
"108" "Antithrombin-III" "1-ZH1670" 17 "Seili" "soft_tissue" "Soft
tissue" "1-ZH1670

Soft
tissue"
"109" "Collagen alpha-3(VI) chain" "1-ZH1670" 17 "Seili" "soft_tissue" "Soft
tissue" "1-ZH1670

Soft
tissue"
"110" "Immunoglobulin gamma-1 heavy chain" "1-ZH1670" 17 "Seili" "soft_tissue" "Soft
tissue" "1-ZH1670

Soft
tissue"
"111" "Alpha-1-acid glycoprotein 1" "1-ZH1657" 16 "Seili" "coffin_bedding" "Coffin
bedding" "1-ZH1657

Coffin
bedding"
"112" "Myomesin-3" "1-ZH1657" 16 "Seili" "coffin_bedding" "Coffin
bedding" "1-ZH1657

Coffin
bedding"
"113" "Coagulation factor X" "1-ZH1658" 16 "Seili" "bone" "Bone
 " "1-ZH1658

Bone
 "
"114" "Collagen alpha-3(VI) chain" "1-ZH1658" 16 "Seili" "bone" "Bone
 " "1-ZH1658

Bone
 "
"115" "Fatty acid-binding protein, adipocyte" "1-ZH1659" 16 "Seili" "soft_tissue" "Soft
tissue" "1-ZH1659

Soft
tissue"
"116" "Serum amyloid A-1 protein" "1-ZH1659" 16 "Seili" "soft_tissue" "Soft
tissue" "1-ZH1659

Soft
tissue"
"117" "Protein S100-A8" "2-ZH1673" 16 "Seili" "soft_tissue" "Soft
tissue" "2-ZH1673

Soft
tissue"
"118" "Albumin" "2-ZH1673" 16 "Seili" "soft_tissue" "Soft
tissue" "2-ZH1673

Soft
tissue"
"119" "Osteomodulin" "3-ZH1676" 16 "Seili" "bone" "Bone
 " "3-ZH1676

Bone
 "
"120" "Ferritin heavy chain" "1-ZH1659" 15 "Seili" "soft_tissue" "Soft
tissue" "1-ZH1659

Soft
tissue"
"121" "Glyceraldehyde-3-phosphate dehydrogenase" "1-ZH1659" 15 "Seili" "soft_tissue" "Soft
tissue" "1-ZH1659

Soft
tissue"
"122" "Protein S100-A8" "1-ZH1659" 15 "Seili" "soft_tissue" "Soft
tissue" "1-ZH1659

Soft
tissue"
"123" "Alpha-actinin-1" "1-ZH1670" 15 "Seili" "soft_tissue" "Soft
tissue" "1-ZH1670

Soft
tissue"
"124" "Decorin" "1-ZH1670" 15 "Seili" "soft_tissue" "Soft
tissue" "1-ZH1670

Soft
tissue"
"125" "Vitronectin" "2-ZH1673" 15 "Seili" "soft_tissue" "Soft
tissue" "2-ZH1673

Soft
tissue"
"126" "Olfactomedin-like protein 3" "3-ZH1676" 15 "Seili" "bone" "Bone
 " "3-ZH1676

Bone
 "
"127" "Ferritin light chain" "1-ZH1657" 14 "Seili" "coffin_bedding" "Coffin
bedding" "1-ZH1657

Coffin
bedding"
"128" "Superoxide dismutase [Mn], mitochondrial" "1-ZH1657" 14 "Seili" "coffin_bedding" "Coffin
bedding" "1-ZH1657

Coffin
bedding"
"129" "Superoxide dismutase [Mn], mitochondrial" "1-ZH1658" 14 "Seili" "bone" "Bone
 " "1-ZH1658

Bone
 "
"130" "Albumin" "1-ZH1670" 14 "Seili" "soft_tissue" "Soft
tissue" "1-ZH1670

Soft
tissue"
"131" "Glyceraldehyde-3-phosphate dehydrogenase" "1-ZH1670" 14 "Seili" "soft_tissue" "Soft
tissue" "1-ZH1670

Soft
tissue"
"132" "Mimecan" "1-ZH1670" 14 "Seili" "soft_tissue" "Soft
tissue" "1-ZH1670

Soft
tissue"
"133" "Myeloperoxidase" "1-ZH1670" 14 "Seili" "soft_tissue" "Soft
tissue" "1-ZH1670

Soft
tissue"
"134" "Prenylcysteine oxidase" "1-ZH1670" 14 "Seili" "soft_tissue" "Soft
tissue" "1-ZH1670

Soft
tissue"
"135" "Anoctamin-5" "2-ZH1672" 14 "Seili" "bone" "Bone
 " "2-ZH1672

Bone
 "
"136" "Complement component C9" "2-ZH1672" 14 "Seili" "bone" "Bone
 " "2-ZH1672

Bone
 "
"137" "Collagen alpha-3(VI) chain" "2-ZH1673" 14 "Seili" "soft_tissue" "Soft
tissue" "2-ZH1673

Soft
tissue"
"138" "Filamin-A" "2-ZH1673" 14 "Seili" "soft_tissue" "Soft
tissue" "2-ZH1673

Soft
tissue"
"139" "Metalloproteinase inhibitor 3" "2-ZH1673" 14 "Seili" "soft_tissue" "Soft
tissue" "2-ZH1673

Soft
tissue"
"140" "Microfibril-associated glycoprotein 4" "2-ZH1673" 14 "Seili" "soft_tissue" "Soft
tissue" "2-ZH1673

Soft
tissue"
"141" "Coagulation factor IX" "3-ZH1676" 14 "Seili" "bone" "Bone
 " "3-ZH1676

Bone
 "
"142" "Vitamin K-dependent protein C" "1-ZH1658" 13 "Seili" "bone" "Bone
 " "1-ZH1658

Bone
 "
"143" "Decorin" "1-ZH1659" 13 "Seili" "soft_tissue" "Soft
tissue" "1-ZH1659

Soft
tissue"
"144" "Apolipoprotein D" "1-ZH1670" 13 "Seili" "soft_tissue" "Soft
tissue" "1-ZH1670

Soft
tissue"
"145" "Dimethylglycine dehydrogenase, mitochondrial" "1-ZH1670" 13 "Seili" "soft_tissue" "Soft
tissue" "1-ZH1670

Soft
tissue"
"146" "CAH1_HUMAN" "1-ZH1670" 13 "Seili" "soft_tissue" "Soft
tissue" "1-ZH1670

Soft
tissue"
"147" "Coagulation factor X" "2-ZH1672" 13 "Seili" "bone" "Bone
 " "2-ZH1672

Bone
 "
"148" "Thrombospondin-1" "2-ZH1672" 13 "Seili" "bone" "Bone
 " "2-ZH1672

Bone
 "
"149" "Vitamin K-dependent protein C" "2-ZH1672" 13 "Seili" "bone" "Bone
 " "2-ZH1672

Bone
 "
"150" "Apolipoprotein D" "2-ZH1673" 13 "Seili" "soft_tissue" "Soft
tissue" "2-ZH1673

Soft
tissue"
"151" "Ferritin heavy chain" "2-ZH1673" 13 "Seili" "soft_tissue" "Soft
tissue" "2-ZH1673

Soft
tissue"
"152" "Protein S100-A7" "2-ZH1673" 13 "Seili" "soft_tissue" "Soft
tissue" "2-ZH1673

Soft
tissue"
"153" "Transmembrane protein 43" "2-ZH1673" 13 "Seili" "soft_tissue" "Soft
tissue" "2-ZH1673

Soft
tissue"
"154" "Collagen alpha-3(VI) chain" "3-ZH1676" 13 "Seili" "bone" "Bone
 " "3-ZH1676

Bone
 "
"155" "Amine oxidase [flavin-containing] B" "1-ZH1657" 12 "Seili" "coffin_bedding" "Coffin
bedding" "1-ZH1657

Coffin
bedding"
"156" "Glyceraldehyde-3-phosphate dehydrogenase" "1-ZH1657" 12 "Seili" "coffin_bedding" "Coffin
bedding" "1-ZH1657

Coffin
bedding"
"157" "Unconventional myosin-Ib" "1-ZH1658" 12 "Seili" "bone" "Bone
 " "1-ZH1658

Bone
 "
"158" "Collagen alpha-2(IV) chain" "1-ZH1659" 12 "Seili" "soft_tissue" "Soft
tissue" "1-ZH1659

Soft
tissue"
"159" "Fumarylacetoacetase" "1-ZH1670" 12 "Seili" "soft_tissue" "Soft
tissue" "1-ZH1670

Soft
tissue"
"160" "Thymidine phosphorylase" "1-ZH1670" 12 "Seili" "soft_tissue" "Soft
tissue" "1-ZH1670

Soft
tissue"
"161" "Coagulation factor IX" "2-ZH1672" 12 "Seili" "bone" "Bone
 " "2-ZH1672

Bone
 "
"162" "Dermatopontin" "2-ZH1672" 12 "Seili" "bone" "Bone
 " "2-ZH1672

Bone
 "
"163" "Olfactomedin-like protein 3" "2-ZH1672" 12 "Seili" "bone" "Bone
 " "2-ZH1672

Bone
 "
"164" "Collagen alpha-1(III) chain" "2-ZH1673" 12 "Seili" "soft_tissue" "Soft
tissue" "2-ZH1673

Soft
tissue"
"165" "Complement component C9" "2-ZH1673" 12 "Seili" "soft_tissue" "Soft
tissue" "2-ZH1673

Soft
tissue"
"166" "Immunoglobulin gamma-1 heavy chain" "2-ZH1673" 12 "Seili" "soft_tissue" "Soft
tissue" "2-ZH1673

Soft
tissue"
"167" "Versican core protein" "2-ZH1673" 12 "Seili" "soft_tissue" "Soft
tissue" "2-ZH1673

Soft
tissue"
"168" "Collagen alpha-2(I) chain" "1-ZH1656" 11 "Seili" "coffin_bedding" "Coffin
bedding" "1-ZH1656

Coffin
bedding"
"169" "Alpha-1-antichymotrypsin" "1-ZH1657" 11 "Seili" "coffin_bedding" "Coffin
bedding" "1-ZH1657

Coffin
bedding"
"170" "Myelin P2 protein" "1-ZH1657" 11 "Seili" "coffin_bedding" "Coffin
bedding" "1-ZH1657

Coffin
bedding"
"171" "Myomesin-2" "1-ZH1657" 11 "Seili" "coffin_bedding" "Coffin
bedding" "1-ZH1657

Coffin
bedding"
"172" "Myosin-binding protein C, slow-type" "1-ZH1657" 11 "Seili" "coffin_bedding" "Coffin
bedding" "1-ZH1657

Coffin
bedding"
"173" "Anoctamin-5" "1-ZH1658" 11 "Seili" "bone" "Bone
 " "1-ZH1658

Bone
 "
"174" "Coagulation factor IX" "1-ZH1658" 11 "Seili" "bone" "Bone
 " "1-ZH1658

Bone
 "
"175" "Mimecan" "1-ZH1659" 11 "Seili" "soft_tissue" "Soft
tissue" "1-ZH1659

Soft
tissue"
"176" "Leukocyte elastase inhibitor" "1-ZH1670" 11 "Seili" "soft_tissue" "Soft
tissue" "1-ZH1670

Soft
tissue"
"177" "Osteomodulin" "2-ZH1672" 11 "Seili" "bone" "Bone
 " "2-ZH1672

Bone
 "
"178" "Unconventional myosin-Id" "2-ZH1672" 11 "Seili" "bone" "Bone
 " "2-ZH1672

Bone
 "
"179" "Mast cell carboxypeptidase A" "2-ZH1673" 11 "Seili" "soft_tissue" "Soft
tissue" "2-ZH1673

Soft
tissue"
"180" "C-type lectin domain family 11 member A" "3-ZH1676" 11 "Seili" "bone" "Bone
 " "3-ZH1676

Bone
 "
"181" "Decorin" "3-ZH1676" 11 "Seili" "bone" "Bone
 " "3-ZH1676

Bone
 "
"182" "Retina-specific copper amine oxidase" "3-ZH1676" 11 "Seili" "bone" "Bone
 " "3-ZH1676

Bone
 "
"183" "Prenylcysteine oxidase" "1-ZH1657" 10 "Seili" "coffin_bedding" "Coffin
bedding" "1-ZH1657

Coffin
bedding"
"184" "Complement component C9" "1-ZH1658" 10 "Seili" "bone" "Bone
 " "1-ZH1658

Bone
 "
"185" "Dermatopontin" "1-ZH1658" 10 "Seili" "bone" "Bone
 " "1-ZH1658

Bone
 "
"186" "Retina-specific copper amine oxidase" "1-ZH1658" 10 "Seili" "bone" "Bone
 " "1-ZH1658

Bone
 "
"187" "Serine protease HTRA1" "1-ZH1658" 10 "Seili" "bone" "Bone
 " "1-ZH1658

Bone
 "
"188" "Aminopeptidase N" "1-ZH1670" 10 "Seili" "soft_tissue" "Soft
tissue" "1-ZH1670

Soft
tissue"
"189" "Collagen alpha-2(VI) chain" "1-ZH1670" 10 "Seili" "soft_tissue" "Soft
tissue" "1-ZH1670

Soft
tissue"
"190" "Gamma-glutamyl hydrolase" "1-ZH1670" 10 "Seili" "soft_tissue" "Soft
tissue" "1-ZH1670

Soft
tissue"
"191" "Myomesin-2" "1-ZH1670" 10 "Seili" "soft_tissue" "Soft
tissue" "1-ZH1670

Soft
tissue"
"192" "C-type lectin domain family 11 member A" "2-ZH1672" 10 "Seili" "bone" "Bone
 " "2-ZH1672

Bone
 "
"193" "Unconventional myosin-Ib" "2-ZH1672" 10 "Seili" "bone" "Bone
 " "2-ZH1672

Bone
 "
"194" "Vitamin K-dependent protein Z" "2-ZH1672" 10 "Seili" "bone" "Bone
 " "2-ZH1672

Bone
 "
"195" "Asporin" "2-ZH1673" 10 "Seili" "soft_tissue" "Soft
tissue" "2-ZH1673

Soft
tissue"
"196" "Epoxide hydrolase 1" "2-ZH1673" 10 "Seili" "soft_tissue" "Soft
tissue" "2-ZH1673

Soft
tissue"
"197" "Glutathione peroxidase 3" "2-ZH1673" 10 "Seili" "soft_tissue" "Soft
tissue" "2-ZH1673

Soft
tissue"
"198" "Plasma protease C1 inhibitor" "2-ZH1673" 10 "Seili" "soft_tissue" "Soft
tissue" "2-ZH1673

Soft
tissue"
"199" "Cathepsin G" "2-ZH1673" 10 "Seili" "soft_tissue" "Soft
tissue" "2-ZH1673

Soft
tissue"
"200" "Coagulation factor X" "3-ZH1676" 10 "Seili" "bone" "Bone
 " "3-ZH1676

Bone
 "
"201" "Complement component C9" "3-ZH1676" 10 "Seili" "bone" "Bone
 " "3-ZH1676

Bone
 "
"202" "Fatty acid-binding protein 5" "1-ZH1657" 9 "Seili" "coffin_bedding" "Coffin
bedding" "1-ZH1657

Coffin
bedding"
"203" "Filamin-A" "1-ZH1657" 9 "Seili" "coffin_bedding" "Coffin
bedding" "1-ZH1657

Coffin
bedding"
"204" "Asporin" "1-ZH1658" 9 "Seili" "bone" "Bone
 " "1-ZH1658

Bone
 "
"205" "CD9 antigen" "1-ZH1658" 9 "Seili" "bone" "Bone
 " "1-ZH1658

Bone
 "
"206" "Vitamin K-dependent protein Z" "1-ZH1658" 9 "Seili" "bone" "Bone
 " "1-ZH1658

Bone
 "
"207" "Alpha-1-acid glycoprotein 1" "1-ZH1659" 9 "Seili" "soft_tissue" "Soft
tissue" "1-ZH1659

Soft
tissue"
"208" "Immunoglobulin lambda constant 2" "1-ZH1670" 9 "Seili" "soft_tissue" "Soft
tissue" "1-ZH1670

Soft
tissue"
"209" "Lumican" "1-ZH1670" 9 "Seili" "soft_tissue" "Soft
tissue" "1-ZH1670

Soft
tissue"
"210" "Neutrophil elastase" "1-ZH1670" 9 "Seili" "soft_tissue" "Soft
tissue" "1-ZH1670

