"protein_name" "sample_ID" "psm" "study" "material" "material2" "x_label"
"110" "Asporin" "293" 7 "Sawafuji" "bone" "Bone
 " "293

Bone
 "
"111" "Collagen alpha-3(VI) chain" "293" 7 "Sawafuji" "bone" "Bone
 " "293

Bone
 "
"112" "Neutrophil defensin 1" "293" 7 "Sawafuji" "bone" "Bone
 " "293

Bone
 "
"113" "Osteomodulin" "293" 7 "Sawafuji" "bone" "Bone
 " "293

Bone
 "
"114" "Coagulation factor VII" "318" 6 "Sawafuji" "bone" "Bone
 " "318

Bone
 "
"115" "Insulin-like growth factor II" "319" 6 "Sawafuji" "bone" "Bone
 " "319

Bone
 "
"116" "Kininogen-1" "319" 6 "Sawafuji" "bone" "Bone
 " "319

Bone
 "
"117" "Osteocalcin" "296" 6 "Sawafuji" "bone" "Bone
 " "296

Bone
 "
"118" "Protein Z-dependent protease inhibitor" "301" 6 "Sawafuji" "bone" "Bone
 " "301

Bone
 "
"119" "Decorin" "302" 6 "Sawafuji" "bone" "Bone
 " "302

Bone
 "
"120" "Coagulation factor VII" "293" 6 "Sawafuji" "bone" "Bone
 " "293

Bone
 "
"121" "Collagen alpha-1(XXII) chain" "293" 6 "Sawafuji" "bone" "Bone
 " "293

Bone
 "
"122" "Olfactomedin-like protein 3" "293" 6 "Sawafuji" "bone" "Bone
 " "293

Bone
 "
"123" "Osteocalcin" "293" 6 "Sawafuji" "bone" "Bone
 " "293

Bone
 "
"124" "Secreted phosphoprotein 24" "293" 6 "Sawafuji" "bone" "Bone
 " "293

Bone
 "
"125" "Tetranectin" "319" 5 "Sawafuji" "bone" "Bone
 " "319

Bone
 "
"126" "Cathepsin G" "296" 5 "Sawafuji" "bone" "Bone
 " "296

Bone
 "
"127" "Decorin" "296" 5 "Sawafuji" "bone" "Bone
 " "296

Bone
 "
"128" "Olfactomedin-like protein 3" "296" 5 "Sawafuji" "bone" "Bone
 " "296

Bone
 "
"129" "Osteomodulin" "296" 5 "Sawafuji" "bone" "Bone
 " "296

Bone
 "
"130" "Collagen alpha-1(XII) chain" "301" 5 "Sawafuji" "bone" "Bone
 " "301

Bone
 "
"131" "Insulin-like growth factor II" "302" 5 "Sawafuji" "bone" "Bone
 " "302

Bone
 "
"132" "Kininogen-1" "302" 5 "Sawafuji" "bone" "Bone
 " "302

Bone
 "
"133" "Protein Z-dependent protease inhibitor" "302" 5 "Sawafuji" "bone" "Bone
 " "302

Bone
 "
"134" "Bone marrow proteoglycan" "293" 5 "Sawafuji" "bone" "Bone
 " "293

Bone
 "
"135" "Collagen alpha-2(V) chain" "293" 5 "Sawafuji" "bone" "Bone
 " "293

Bone
 "
"136" "Matrix Gla protein" "293" 5 "Sawafuji" "bone" "Bone
 " "293

Bone
 "
"137" "Vitamin K-dependent protein C" "293" 5 "Sawafuji" "bone" "Bone
 " "293

Bone
 "
"138" "Bone marrow proteoglycan" "294" 4 "Sawafuji" "bone" "Bone
 " "294

Bone
 "
"139" "Cathepsin G" "294" 4 "Sawafuji" "bone" "Bone
 " "294

Bone
 "
"140" "Coagulation factor VII" "294" 4 "Sawafuji" "bone" "Bone
 " "294

Bone
 "
"141" "Myeloperoxidase" "294" 4 "Sawafuji" "bone" "Bone
 " "294

Bone
 "
"142" "Osteocalcin" "294" 4 "Sawafuji" "bone" "Bone
 " "294

Bone
 "
"143" "Bone marrow proteoglycan" "319" 4 "Sawafuji" "bone" "Bone
 " "319

Bone
 "
"144" "Cellular retinoic acid-binding protein 2" "319" 4 "Sawafuji" "bone" "Bone
 " "319

Bone
 "
"145" "Insulin-like growth factor-binding protein complex acid labile subunit" "319" 4 "Sawafuji" "bone" "Bone
 " "319

Bone
 "
"146" "Integrin-binding sialoprotein" "319" 4 "Sawafuji" "bone" "Bone
 " "319

Bone
 "
"147" "Neutrophil defensin 1" "319" 4 "Sawafuji" "bone" "Bone
 " "319

Bone
 "
"148" "Platelet glycoprotein 4" "319" 4 "Sawafuji" "bone" "Bone
 " "319

Bone
 "
"149" "Procollagen C-endopeptidase enhancer 1" "319" 4 "Sawafuji" "bone" "Bone
 " "319

Bone
 "
"150" "Serine protease HTRA1" "319" 4 "Sawafuji" "bone" "Bone
 " "319

Bone
 "
"151" "Thrombospondin-1" "319" 4 "Sawafuji" "bone" "Bone
 " "319

Bone
 "
"152" "Vitrin" "319" 4 "Sawafuji" "bone" "Bone
 " "319

Bone
 "
"153" "Coagulation factor VII" "296" 4 "Sawafuji" "bone" "Bone
 " "296

Bone
 "
"154" "Coagulation factor X" "296" 4 "Sawafuji" "bone" "Bone
 " "296

Bone
 "
"155" "Alpha-2-HS-glycoprotein" "301" 4 "Sawafuji" "bone" "Bone
 " "301

Bone
 "
"156" "Dermatopontin" "301" 4 "Sawafuji" "bone" "Bone
 " "301

Bone
 "
"157" "Prothymosin alpha" "301" 4 "Sawafuji" "bone" "Bone
 " "301

Bone
 "
"158" "Collagen alpha-1(XII) chain" "302" 4 "Sawafuji" "bone" "Bone
 " "302

Bone
 "
"159" "Apolipoprotein E" "293" 4 "Sawafuji" "bone" "Bone
 " "293

Bone
 "
"160" "Basement membrane-specific heparan sulfate proteoglycan core protein" "293" 4 "Sawafuji" "bone" "Bone
 " "293

Bone
 "
"161" "C-type lectin domain family 11 member A" "293" 4 "Sawafuji" "bone" "Bone
 " "293

Bone
 "
"162" "Insulin-like growth factor II" "293" 4 "Sawafuji" "bone" "Bone
 " "293

Bone
 "
"163" "Integrin-binding sialoprotein" "293" 4 "Sawafuji" "bone" "Bone
 " "293

Bone
 "
"164" "Alpha-2-HS-glycoprotein" "294" 3 "Sawafuji" "bone" "Bone
 " "294

Bone
 "
"165" "Collagen alpha-1(XXII) chain" "294" 3 "Sawafuji" "bone" "Bone
 " "294

Bone
 "
"166" "Dermatopontin" "294" 3 "Sawafuji" "bone" "Bone
 " "294

Bone
 "
"167" "Neutrophil defensin 1" "294" 3 "Sawafuji" "bone" "Bone
 " "294

Bone
 "
"168" "Osteomodulin" "294" 3 "Sawafuji" "bone" "Bone
 " "294

Bone
 "
"169" "Alpha-enolase" "318" 3 "Sawafuji" "bone" "Bone
 " "318

Bone
 "
"170" "Coagulation factor X" "318" 3 "Sawafuji" "bone" "Bone
 " "318

Bone
 "
"171" "Collagen alpha-1(XXII) chain" "318" 3 "Sawafuji" "bone" "Bone
 " "318

Bone
 "
"172" "Eosinophil peroxidase" "318" 3 "Sawafuji" "bone" "Bone
 " "318

Bone
 "
"173" "Lactadherin" "318" 3 "Sawafuji" "bone" "Bone
 " "318

Bone
 "
"174" "Matrix Gla protein" "318" 3 "Sawafuji" "bone" "Bone
 " "318

Bone
 "
"175" "Protein Z-dependent protease inhibitor" "318" 3 "Sawafuji" "bone" "Bone
 " "318

Bone
 "
"176" "Apolipoprotein E" "319" 3 "Sawafuji" "bone" "Bone
 " "319

Bone
 "
"177" "Basement membrane-specific heparan sulfate proteoglycan core protein" "319" 3 "Sawafuji" "bone" "Bone
 " "319

Bone
 "
"178" "C-type lectin domain family 11 member A" "319" 3 "Sawafuji" "bone" "Bone
 " "319

Bone
 "
"179" "Carboxypeptidase Z" "319" 3 "Sawafuji" "bone" "Bone
 " "319

Bone
 "
"180" "Cathepsin G" "319" 3 "Sawafuji" "bone" "Bone
 " "319

Bone
 "
"181" "Inter-alpha-trypsin inhibitor heavy chain H4" "319" 3 "Sawafuji" "bone" "Bone
 " "319

Bone
 "
"182" "Myeloblastin" "319" 3 "Sawafuji" "bone" "Bone
 " "319

Bone
 "
"183" "Vitamin K-dependent protein C" "319" 3 "Sawafuji" "bone" "Bone
 " "319

Bone
 "
"184" "Vitamin K-dependent protein S" "319" 3 "Sawafuji" "bone" "Bone
 " "319

Bone
 "
"185" "Collagen alpha-1(XXII) chain" "296" 3 "Sawafuji" "bone" "Bone
 " "296

Bone
 "
"186" "Collagen alpha-2(V) chain" "296" 3 "Sawafuji" "bone" "Bone
 " "296

Bone
 "
"187" "Insulin-like growth factor II" "296" 3 "Sawafuji" "bone" "Bone
 " "296

Bone
 "
"188" "Kininogen-1" "301" 3 "Sawafuji" "bone" "Bone
 " "301

Bone
 "
"189" "Osteocalcin" "301" 3 "Sawafuji" "bone" "Bone
 " "301

Bone
 "
"190" "Secreted phosphoprotein 24" "301" 3 "Sawafuji" "bone" "Bone
 " "301

Bone
 "
"191" "Collagen alpha-1(XXII) chain" "302" 3 "Sawafuji" "bone" "Bone
 " "302

Bone
 "
"192" "Neutrophil defensin 1" "302" 3 "Sawafuji" "bone" "Bone
 " "302

Bone
 "
"193" "Osteocalcin" "302" 3 "Sawafuji" "bone" "Bone
 " "302

Bone
 "
"194" "Osteomodulin" "302" 3 "Sawafuji" "bone" "Bone
 " "302

Bone
 "
"195" "Sushi repeat-containing protein SRPX" "302" 3 "Sawafuji" "bone" "Bone
 " "302

Bone
 "
"196" "Amyloid-beta precursor protein" "293" 3 "Sawafuji" "bone" "Bone
 " "293

Bone
 "
"197" "Cathepsin G" "293" 3 "Sawafuji" "bone" "Bone
 " "293

Bone
 "
"198" "Complement component C8 beta chain" "293" 3 "Sawafuji" "bone" "Bone
 " "293

Bone
 "
"199" "Endoplasmin" "293" 3 "Sawafuji" "bone" "Bone
 " "293

Bone
 "
"200" "Coagulation factor X" "294" 2 "Sawafuji" "bone" "Bone
 " "294

Bone
 "
"201" "Myeloblastin" "294" 2 "Sawafuji" "bone" "Bone
 " "294

Bone
 "
"202" "Neutrophil elastase" "294" 2 "Sawafuji" "bone" "Bone
 " "294

Bone
 "
"203" "Apolipoprotein E" "318" 2 "Sawafuji" "bone" "Bone
 " "318

Bone
 "
"204" "Basement membrane-specific heparan sulfate proteoglycan core protein" "318" 2 "Sawafuji" "bone" "Bone
 " "318

Bone
 "
"205" "Glyceraldehyde-3-phosphate dehydrogenase" "318" 2 "Sawafuji" "bone" "Bone
 " "318

Bone
 "
"206" "Integrin-binding sialoprotein" "318" 2 "Sawafuji" "bone" "Bone
 " "318

Bone
 "
"207" "Keratin, type II cytoskeletal 1" "318" 2 "Sawafuji" "bone" "Bone
 " "318

Bone
 "
"208" "Myeloblastin" "318" 2 "Sawafuji" "bone" "Bone
 " "318

Bone
 "
"209" "Olfactomedin-like protein 3" "318" 2 "Sawafuji" "bone" "Bone
 " "318

Bone
 "
"210" "Pyruvate kinase PKM" "318" 2 "Sawafuji" "bone" "Bone
 " "318

Bone
 "
"211" "Thrombospondin-1" "318" 2 "Sawafuji" "bone" "Bone
 " "318

Bone
 "
"212" "Carbohydrate sulfotransferase 13" "319" 2 "Sawafuji" "bone" "Bone
 " "319

Bone
 "
"213" "Collagen alpha-2(XI) chain" "319" 2 "Sawafuji" "bone" "Bone
 " "319

Bone
 "
"214" "Collagen alpha-3(VI) chain" "319" 2 "Sawafuji" "bone" "Bone
 " "319

Bone
 "
"215" "Complement C1q subcomponent subunit B" "319" 2 "Sawafuji" "bone" "Bone
 " "319

Bone
 "
"216" "Complement C1q subcomponent subunit C" "319" 2 "Sawafuji" "bone" "Bone
 " "319

Bone
 "
"217" "Complement C4-A" "319" 2 "Sawafuji" "bone" "Bone
 " "319

Bone
 "
"218" "Complement component C8 beta chain" "319" 2 "Sawafuji" "bone" "Bone
 " "319

Bone
 "
"219" "Complement component C9" "319" 2 "Sawafuji" "bone" "Bone
 " "319

Bone
 "
"220" "Extracellular superoxide dismutase [Cu-Zn]" "319" 2 "Sawafuji" "bone" "Bone
 " "319

Bone
 "
"221" "Peptidyl-prolyl cis-trans isomerase B" "319" 2 "Sawafuji" "bone" "Bone
 " "319

Bone
 "
"222" "Protein S100-A8" "319" 2 "Sawafuji" "bone" "Bone
 " "319

Bone
 "
"223" "Transthyretin" "319" 2 "Sawafuji" "bone" "Bone
 " "319

Bone
 "
"224" "Apolipoprotein E" "296" 2 "Sawafuji" "bone" "Bone
 " "296

Bone
 "
"225" "Basement membrane-specific heparan sulfate proteoglycan core protein" "296" 2 "Sawafuji" "bone" "Bone
 " "296

Bone
 "
"226" "Collagen alpha-1(XII) chain" "296" 2 "Sawafuji" "bone" "Bone
 " "296

Bone
 "
"227" "Collagen alpha-3(VI) chain" "296" 2 "Sawafuji" "bone" "Bone
 " "296

Bone
 "
"228" "Kininogen-1" "296" 2 "Sawafuji" "bone" "Bone
 " "296

Bone
 "
"229" "Neutrophil defensin 1" "296" 2 "Sawafuji" "bone" "Bone
 " "296

Bone
 "
"230" "Tetranectin" "296" 2 "Sawafuji" "bone" "Bone
 " "296

Bone
 "
"231" "Thrombospondin-1" "296" 2 "Sawafuji" "bone" "Bone
 " "296

Bone
 "
"232" "Vitamin K-dependent protein C" "296" 2 "Sawafuji" "bone" "Bone
 " "296

Bone
 "
"233" "Asporin" "301" 2 "Sawafuji" "bone" "Bone
 " "301

Bone
 "
"234" "Collagen alpha-1(XXII) chain" "301" 2 "Sawafuji" "bone" "Bone
 " "301

Bone
 "
"235" "Eosinophil peroxidase" "301" 2 "Sawafuji" "bone" "Bone
 " "301

Bone
 "
"236" "Glyceraldehyde-3-phosphate dehydrogenase" "301" 2 "Sawafuji" "bone" "Bone
 " "301

Bone
 "
"237" "Heterogeneous nuclear ribonucleoprotein C" "301" 2 "Sawafuji" "bone" "Bone
 " "301

Bone
 "
"238" "Apolipoprotein E" "302" 2 "Sawafuji" "bone" "Bone
 " "302

Bone
 "
"239" "Basement membrane-specific heparan sulfate proteoglycan core protein" "302" 2 "Sawafuji" "bone" "Bone
 " "302

Bone
 "
"240" "Coagulation factor X" "302" 2 "Sawafuji" "bone" "Bone
 " "302

Bone
 "
"241" "Collagen alpha-3(VI) chain" "302" 2 "Sawafuji" "bone" "Bone
 " "302

Bone
 "
"242" "Integrin-binding sialoprotein" "302" 2 "Sawafuji" "bone" "Bone
 " "302

Bone
 "
"243" "Neutrophil defensin 2" "302" 2 "Sawafuji" "bone" "Bone
 " "302

Bone
 "
"244" "Collagen alpha-2(VI) chain" "293" 2 "Sawafuji" "bone" "Bone
 " "293

Bone
 "
"245" "Collagen alpha-2(XI) chain" "293" 2 "Sawafuji" "bone" "Bone
 " "293

Bone
 "
"246" "Complement C3" "293" 2 "Sawafuji" "bone" "Bone
 " "293

Bone
 "
"247" "Immunoglobulin superfamily member 8" "293" 2 "Sawafuji" "bone" "Bone
 " "293

Bone
 "
"248" "Inter-alpha-trypsin inhibitor heavy chain H4" "293" 2 "Sawafuji" "bone" "Bone
 " "293

Bone
 "
"249" "Mimecan" "293" 2 "Sawafuji" "bone" "Bone
 " "293

Bone
 "
"250" "Myeloblastin" "293" 2 "Sawafuji" "bone" "Bone
 " "293

Bone
 "
"251" "Phosphoethanolamine/phosphocholine phosphatase" "293" 2 "Sawafuji" "bone" "Bone
 " "293

Bone
 "
"252" "Proteoglycan 3" "293" 2 "Sawafuji" "bone" "Bone
 " "293

Bone
 "
"253" "Tetranectin" "293" 2 "Sawafuji" "bone" "Bone
 " "293

Bone
 "
